epoch,train_loss,val_window_mae_kwh,grad_norm,loss,w_state,w_window,l_window,l_state,val_mae_soc_event_0.1,val_mae_soc_event_0.2,val_mae_soc_event_0.5,val_mae_time_60s,val_mae_time_120s,val_mae_time_300s,val_mae_time_600s,val_mae_full_trip
0.0,2.1679321160683265,0.3411921120714396,5.596826228184613,2.1679321160683265,1.8902134308448202,0.27771864372950333,0.27771864372950333,18.902134308448204,0.0339648500084877,0.03487472981214523,0.03933589532971382,0.03058003820478916,0.06110454350709915,0.1488681584596634,0.2951105535030365,2.085698127746582
1.0,2.0397784251433153,0.15532848029397428,5.738256499062734,2.0397784251433153,1.8735040444594162,0.16627434469186342,0.16627434469186342,18.735040444594162,0.024181710556149483,0.024807551875710487,0.027362370863556862,0.021878264844417572,0.04057549685239792,0.08691518753767014,0.1539442390203476,0.8629630208015442
2.0,1.935579313681676,0.32913946104235947,5.770435347188306,1.935579313681676,1.8184477586012624,0.11713154155474442,0.11713154155474442,18.18447758601262,0.0319945365190506,0.03284681960940361,0.037077587097883224,0.029128486290574074,0.05863208323717117,0.1444191336631775,0.28733786940574646,2.011679172515869
3.0,1.825921430037572,0.1661656480282545,5.484090268847993,1.825921430037572,1.6778995073758638,0.14802190546806043,0.14802190546806043,16.77899507375864,0.02072465978562832,0.02103544771671295,0.023146016523241997,0.01882023736834526,0.033751629292964935,0.07900022715330124,0.14310212433338165,0.9897448420524597
4.0,1.626976545040424,0.16536603891290724,5.752869534888104,1.626976545040424,1.540581413415762,0.08639510749624325,0.08639510749624325,15.405814134157621,0.021390285342931747,0.022168677300214767,0.023657603189349174,0.021842990070581436,0.03840094804763794,0.08918473869562149,0.1359492540359497,0.9703338146209717
5.0,1.5884075302344103,0.18464851612225175,6.363042412323079,1.5884075302344103,1.4654989572671746,0.12290855869650841,0.12290855869650841,14.654989572671743,0.021256353706121445,0.021569689735770226,0.023851560428738594,0.019175119698047638,0.035359226167201996,0.08410428464412689,0.16045531630516052,1.1114165782928467
6.0,1.521500358214745,0.12031762697733939,5.653811594061025,1.521500358214745,1.40830078125,0.1131995480794173,0.1131995480794173,14.0830078125,0.018679875880479813,0.018907323479652405,0.02050638198852539,0.017727717757225037,0.029105303809046745,0.06479839235544205,0.10956529527902603,0.6832507252693176
7.0,1.4472936254281263,0.07868446316570044,5.342688396855507,1.4472936254281263,1.358867069391104,0.08842654440265435,0.08842654440265435,13.58867069391104,0.0169218722730875,0.01719205267727375,0.0179805438965559,0.01602146402001381,0.024982688948512077,0.05276371166110039,0.08302584290504456,0.4005875289440155
8.0,1.4305539910609906,0.10859053232707083,7.216284291234117,1.4305539910609906,1.3145767945509692,0.11597714974330021,0.11597714974330021,13.145767945509691,0.01945987530052662,0.019956771284341812,0.02136509120464325,0.018270008265972137,0.0315193273127079,0.06626240909099579,0.10816550254821777,0.5837252736091614
9.0,1.3900117461497967,0.24466432118788362,7.276009521379769,1.3900117461497967,1.2871402850517861,0.10287141026212619,0.10287141026212619,12.87140285051786,0.024963904172182083,0.02545084059238434,0.028546828776597977,0.023255430161952972,0.04433777555823326,0.10983400791883469,0.21240325272083282,1.4885225296020508
10.0,1.3684233381198003,0.1539655216038227,7.131934516760301,1.3684233381198003,1.2611915184901308,0.10723181556050594,0.10723181556050594,12.61191518490131,0.019435398280620575,0.01969299279153347,0.02165454812347889,0.0177691001445055,0.030908992514014244,0.07129932194948196,0.12918388843536377,0.9217799305915833
11.0,1.3108388139651372,0.07458734628744423,6.618397618945665,1.3108388139651372,1.2399382921365592,0.07090049953414844,0.07090049953414844,12.399382921365591,0.017801400274038315,0.018006397411227226,0.018907509744167328,0.017241673544049263,0.02680717594921589,0.055735472589731216,0.07995381951332092,0.3622453212738037
12.0,1.334294585081247,0.18509531812742352,7.30988410904553,1.334294585081247,1.225291681289673,0.10900286556436466,0.10900286556436466,12.252916812896729,0.02569793350994587,0.026347119361162186,0.0288188885897398,0.0248735174536705,0.0451837033033371,0.10448712855577469,0.18964511156082153,1.0357091426849365
13.0,1.3498641573465788,0.20022546406835318,7.136704411035761,1.3498641573465788,1.2032271091754618,0.1466370282264856,0.1466370282264856,12.03227109175462,0.023422542959451675,0.024074187502264977,0.026914065703749657,0.022341258823871613,0.040458500385284424,0.09646981954574585,0.18934158980846405,1.1787817478179932
14.0,1.3428001220409687,0.10288462904281914,6.7451085677088525,1.3428001220409687,1.179400322987483,0.16339978862267274,0.16339978862267274,11.79400322987483,0.01820642687380314,0.018454711884260178,0.02005637250840664,0.017187410965561867,0.028460685163736343,0.06235761195421219,0.11134786158800125,0.5470059514045715
15.0,1.2317211582110479,0.07688664086163044,5.932756386702416,1.2317211582110479,1.1573554112361029,0.07436570783074085,0.07436570783074085,11.573554112361027,0.01653023436665535,0.016905872151255608,0.017829878255724907,0.015577193349599838,0.023998133838176727,0.050419244915246964,0.07958542555570602,0.3942471444606781
16.0,1.2208146796776698,0.2057177103124559,6.294524064874154,1.2208146796776698,1.125863192631648,0.09495148091362073,0.09495148091362073,11.25863192631648,0.026773983612656593,0.027380414307117462,0.029834294691681862,0.025976724922657013,0.047241032123565674,0.11149852722883224,0.20102371275424957,1.1760129928588867
