epoch,train_loss,val_window_mae_kwh,grad_norm,loss,w_state,w_window,l_window,l_state
0.0,2.4667301438748837,,7.211312400107406,2.4667301438748837,2.1271037489175795,0.33962635369971395,0.33962635369971395,21.271037489175797
1.0,2.218908615410328,,6.850759537547807,2.218908615410328,2.096720975637436,0.12218760093674064,0.12218760093674064,20.96720975637436
2.0,2.1209701374173164,,7.3221686332097775,2.1209701374173164,1.9853194445371631,0.13565069995820522,0.13565069995820522,19.853194445371628
3.0,1.9448623396456242,,7.010316591841114,1.9448623396456242,1.806151840090752,0.13871046691201627,0.13871046691201627,18.061518400907516
4.0,1.8809240739792585,,8.040060975103135,1.8809240739792585,1.7061475098133088,0.17477652290835977,0.17477652290835977,17.061475098133087
5.0,1.8145290203392506,,6.571797233190916,1.8145290203392506,1.6038375556468965,0.21069142827764153,0.21069142827764153,16.038375556468964
6.0,1.635817762464285,,7.378387772416738,1.635817762464285,1.5264312684535981,0.10938643245026469,0.10938643245026469,15.26431268453598
7.0,1.5879887714982033,,8.120455822233396,1.5879887714982033,1.452420708537102,0.13556804996915162,0.13556804996915162,14.524207085371017
8.0,1.5146591365337372,,8.217012048701116,1.5146591365337372,1.3970758825540543,0.11758322548121214,0.11758322548121214,13.970758825540543
9.0,1.5733163096010685,,10.129647000662096,1.5733163096010685,1.359227252006531,0.21408902062103152,0.21408902062103152,13.592272520065308
10.0,1.4771241657435894,,8.529097762469693,1.4771241657435894,1.3345247447490691,0.14259938313625753,0.14259938313625753,13.345247447490692
11.0,1.5411807522177696,,8.127762747874495,1.5411807522177696,1.3032516777515413,0.23792905220761895,0.23792905220761895,13.032516777515411
12.0,1.352919964119792,,7.10008006471972,1.352919964119792,1.2623298764228823,0.09059006813913584,0.09059006813913584,12.62329876422882
13.0,1.3346795700490475,,7.350336428283644,1.3346795700490475,1.203614553809166,0.1310650040395558,0.1310650040395558,12.03614553809166
14.0,1.3447660505771637,,7.760544112735218,1.3447660505771637,1.1902608692646026,0.15450513269752264,0.15450513269752264,11.902608692646027
15.0,1.3041749969124794,,7.521794765240035,1.3041749969124794,1.1274123758077623,0.17676259484142065,0.17676259484142065,11.274123758077621
16.0,1.1425979044288397,,6.90304587589565,1.1425979044288397,1.0667642295360567,0.07583365333266556,0.07583365333266556,10.667642295360565
17.0,1.1465548668056726,,7.258215943232756,1.1465548668056726,1.0260598510503771,0.12049499317072332,0.12049499317072332,10.260598510503769
18.0,1.093273788690567,,7.296043332755641,1.093273788690567,1.0011559873819351,0.0921177826821804,0.0921177826821804,10.011559873819351
19.0,1.0714474972337484,,7.444119498749108,1.0714474972337484,0.9268399059772492,0.14460756676271558,0.14460756676271558,9.268399059772491
20.0,0.9740829616785049,,6.946547924761241,0.9740829616785049,0.8773322269320488,0.09675072319805622,0.09675072319805622,8.773322269320488
21.0,0.9846065063029528,,6.903620493562293,0.9846065063029528,0.8235168904066086,0.16108959214761853,0.16108959214761853,8.235168904066086
22.0,0.8497797939926386,,6.758081584507234,0.8497797939926386,0.7714249044656754,0.07835487090051174,0.07835487090051174,7.7142490446567535
23.0,0.8122890125960112,,6.595020327305724,0.8122890125960112,0.726848216354847,0.08544076955877244,0.08544076955877244,7.2684821635484695
