Date,Time,Soc,Speed,Mode,Lat,Lon,Alt,GpsSpeed,ExactSpeed,Odometer,Traffic,Temperature,Humidity,Weather,WindSpeed,WindDirection,Pressure,SpeedLimit,Id,Data,,,,,,,
5/25/2021,16:35:23,62.58,0,N,33.953793,-6.8514943,81,0.03704,0,2180.36,LOW,21.5,68,Clouds,4.23,287,1015,40,0x19F,0xFF,0xFF,0x7D,0x0F,0x38,0xFF,0x40,0xFE
5/25/2021,16:35:23,62.58,0,N,33.953793,-6.8514943,81,0.03704,0,2180.36,LOW,21.5,68,Clouds,4.23,287,1015,40,0x196,0x00,0xFF,0xE7,0x7F,0x70,0x64,0x0B,0x00
5/25/2021,16:35:23,62.58,0,N,33.953793,-6.8514943,81,0.03704,0,2180.36,LOW,21.5,68,Clouds,4.23,287,1015,40,0x19F,0xFF,0xFF,0x7D,0x0F,0x38,0xFF,0x40,0xFE
5/25/2021,16:35:23,62.58,0,N,33.953793,-6.8514943,81,0.03704,0,2180.36,LOW,21.5,68,Clouds,4.23,287,1015,40,0x19F,0xFF,0xFF,0x7D,0x0F,0x38,0xFF,0x40,0xFE
5/25/2021,16:35:23,62.58,0,N,33.953793,-6.8514943,81,0.03704,0,2180.36,LOW,21.5,68,Clouds,4.23,287,1015,40,0x196,0x00,0xFF,0xE7,0x7F,0x70,0x64,0x0B,0x00
5/25/2021,16:35:23,62.58,0,N,33.953793,-6.8514943,81,0.03704,0,2180.36,LOW,21.5,68,Clouds,4.23,287,1015,40,0x19F,0xFF,0xFF,0x7D,0x0F,0x38,0xFF,0x40,0xFE
5/25/2021,16:35:23,62.58,0,N,33.953793,-6.8514943,81,0.03704,0,2180.36,LOW,21.5,68,Clouds,4.23,287,1015,40,0x19F,0xFF,0xFF,0x7D,0x0F,0x38,0xFF,0x40,0xFE
5/25/2021,16:35:23,62.58,0,N,33.953793,-6.8514943,81,0.03704,0,2180.36,LOW,21.5,68,Clouds,4.23,287,1015,40,0x196,0x00,0xFF,0xE7,0x7F,0x70,0x64,0x0B,0x00
5/25/2021,16:35:23,62.58,0,N,33.953793,-6.8514943,81,0.03704,0,2180.36,LOW,21.5,68,Clouds,4.23,287,1015,40,0x19F,0xFF,0xFF,0x7D,0x0F,0x38,0xFF,0x40,0xFE
5/25/2021,16:35:23,62.58,0,N,33.953793,-6.8514943,81,0.03704,0,2180.36,LOW,21.5,68,Clouds,4.23,287,1015,40,0x19F,0xFF,0xFF,0x7D,0x0F,0x38,0xFF,0x40,0xFE
5/25/2021,16:35:23,62.58,0,N,33.953793,-6.8514943,81,0.03704,0,2180.36,LOW,21.5,68,Clouds,4.23,287,1015,40,0x196,0x00,0xFF,0xE7,0x7F,0x70,0x64,0x0B,0x00
5/25/2021,16:35:23,62.58,0,N,33.953793,-6.8514943,81,0.03704,0,2180.36,LOW,21.5,68,Clouds,4.23,287,1015,40,0x19F,0xFF,0xFF,0x7D,0x0F,0x38,0xFF,0x40,0xFE
5/25/2021,16:35:23,62.58,0,N,33.953793,-6.8514943,81,0.03704,0,2180.36,LOW,21.5,68,Clouds,4.23,287,1015,40,0x19F,0xFF,0xFF,0x7D,0x0F,0x38,0xFF,0x40,0xFE
5/25/2021,16:35:23,62.58,0,N,33.953793,-6.8514943,81,0.03704,0,2180.36,LOW,21.5,68,Clouds,4.23,287,1015,40,0x196,0x00,0xFF,0xE7,0x7F,0x70,0x64,0x0B,0x00
5/25/2021,16:35:23,62.58,0,N,33.953793,-6.8514943,81,0.03704,0,2180.36,LOW,21.5,68,Clouds,4.23,287,1015,40,0x19F,0xFF,0xFF,0x7D,0x0F,0x38,0xFF,0x40,0xFE
5/25/2021,16:35:23,62.58,0,N,33.953793,-6.8514943,81,0.03704,0,2180.36,LOW,21.5,68,Clouds,4.23,287,1015,40,0x19F,0xFF,0xFF,0x7D,0x0F,0x38,0xFF,0x40,0xFE
5/25/2021,16:35:23,62.58,0,N,33.953793,-6.8514943,81,0.03704,0,2180.36,LOW,21.5,68,Clouds,4.23,287,1015,40,0x196,0x00,0xFF,0xE7,0x7F,0x70,0x64,0x0B,0x00
5/25/2021,16:35:23,62.58,0,N,33.953793,-6.8514943,81,0.03704,0,2180.36,LOW,21.5,68,Clouds,4.23,287,1015,40,0x19F,0xFF,0xFF,0x7D,0x0F,0x38,0xFF,0x40,0xFE
5/25/2021,16:35:23,62.58,0,N,33.953793,-6.8514943,81,0.03704,0,2180.36,LOW,21.5,68,Clouds,4.23,287,1015,40,0x19F,0xFF,0xFF,0x7D,0x0F,0x38,0xFF,0x40,0xFE
5/25/2021,16:35:23,62.58,0,N,33.953793,-6.8514943,81,0.03704,0,2180.36,LOW,21.5,68,Clouds,4.23,287,1015,40,0x196,0x00,0xFF,0xE7,0x7F,0x70,0x64,0x0B,0x00
5/25/2021,16:35:23,62.58,0,N,33.953793,-6.8514943,81,0.03704,0,2180.36,LOW,21.5,68,Clouds,4.23,287,1015,40,0x19F,0xFF,0xFF,0x7D,0x0F,0x38,0xFF,0x40,0xFE
5/25/2021,16:35:23,62.58,0,N,33.953793,-6.8514943,81,0.03704,0,2180.36,LOW,21.5,68,Clouds,4.23,287,1015,40,0x19F,0xFF,0xFF,0x7D,0x0F,0x38,0xFF,0x40,0xFE
5/25/2021,16:35:23,62.58,0,N,33.953793,-6.8514943,81,0.03704,0,2180.36,LOW,21.5,68,Clouds,4.23,287,1015,40,0x196,0x00,0xFF,0xE7,0x7F,0x70,0x64,0x0B,0x00
5/25/2021,16:35:23,62.58,0,N,33.953793,-6.8514943,81,0.03704,0,2180.36,LOW,21.5,68,Clouds,4.23,287,1015,40,0x19F,0xFF,0xFF,0x7D,0x0F,0x38,0xFF,0x40,0xFE
5/25/2021,16:35:23,62.58,0,N,33.953793,-6.8514943,81,0.03704,0,2180.36,LOW,21.5,68,Clouds,4.23,287,1015,40,0x19F,0xFF,0xFF,0x7D,0x0F,0x38,0xFF,0x40,0xFE
5/25/2021,16:35:23,62.58,0,N,33.953793,-6.8514943,81,0.03704,0,2180.36,LOW,21.5,68,Clouds,4.23,287,1015,40,0x155,0x07,0x97,0xC5,0x54,0x61,0xC8,0x00,0x6E
5/25/2021,16:35:23,62.58,0,N,33.953793,-6.8514943,81,0.03704,0,2180.36,LOW,21.5,68,Clouds,4.23,287,1015,40,0x557,0x31,0x53,0x15,0x31,0x53,0x15,0x31,0x50
5/25/2021,16:35:23,62.58,0,N,33.953793,-6.8514943,81,0.03704,0,2180.36,LOW,21.5,68,Clouds,4.23,287,1015,40,0x19F,0xFF,0xFF,0x7D,0x0F,0x38,0xFF,0x40,0xFE
5/25/2021,16:35:23,62.58,0,N,33.953793,-6.8514943,81,0.03704,0,2180.36,LOW,21.5,68,Clouds,4.23,287,1015,40,0x19F,0xFF,0xFF,0x7D,0x0F,0x38,0xFF,0x40,0xFE
5/25/2021,16:35:23,62.58,0,N,33.953793,-6.8514943,81,0.03704,0,2180.36,LOW,21.5,68,Clouds,4.23,287,1015,40,0x19F,0xFF,0xFF,0x7D,0x0F,0x38,0xFF,0x40,0xFE
5/25/2021,16:35:23,62.58,0,N,33.953793,-6.8514943,81,0.03704,0,2180.36,LOW,21.5,68,Clouds,4.23,287,1015,40,0x19F,0xFF,0xFF,0x7D,0x0F,0x38,0xFF,0x40,0xFE
5/25/2021,16:35:23,62.58,0,N,33.953793,-6.8514943,81,0.03704,0,2180.36,LOW,21.5,68,Clouds,4.23,287,1015,40,0x19F,0xFF,0xFF,0x7D,0x0F,0x38,0xFF,0x40,0xFE
5/25/2021,16:35:23,62.58,0,N,33.953793,-6.8514943,81,0.03704,0,2180.36,LOW,21.5,68,Clouds,4.23,287,1015,40,0x599,0x00,0x00,0x08,0x84,0xFF,0x26,0x00,0x00
5/25/2021,16:35:23,62.58,0,N,33.953793,-6.8514943,81,0.03704,0,2180.36,LOW,21.5,68,Clouds,4.23,287,1015,40,0x59B,0x08,0x0D,0x64,0x00,0x64,0x6F,0x00,0x90
5/25/2021,16:35:23,62.58,0,N,33.953793,-6.8514943,81,0.03704,0,2180.36,LOW,21.5,68,Clouds,4.23,287,1015,40,0x19F,0xFF,0xFF,0x7D,0x0F,0x38,0xFF,0x40,0xFE
5/25/2021,16:35:23,62.58,0,N,33.953793,-6.8514943,81,0.03704,0,2180.36,LOW,21.5,68,Clouds,4.23,287,1015,40,0x19F,0xFF,0xFF,0x7D,0x0F,0x38,0xFF,0x40,0xFE
5/25/2021,16:35:23,62.58,0,N,33.953793,-6.8514943,81,0.03704,0,2180.36,LOW,21.5,68,Clouds,4.23,287,1015,40,0x155,0x07,0x97,0xC6,0x54,0x61,0xC8,0x00,0x6E
5/25/2021,16:35:23,62.58,0,N,33.953793,-6.8514943,81,0.03704,0,2180.36,LOW,21.5,68,Clouds,4.23,287,1015,40,0x19F,0xFF,0xFF,0x7D,0x0F,0x38,0xFF,0x40,0xFE
5/25/2021,16:35:23,62.58,0,N,33.953793,-6.8514943,81,0.03704,0,2180.36,LOW,21.5,68,Clouds,4.23,287,1015,40,0x19F,0xFF,0xFF,0x7D,0x0F,0x38,0xFF,0x40,0xFE
5/25/2021,16:35:23,62.58,0,N,33.953793,-6.8514943,81,0.03704,0,2180.36,LOW,21.5,68,Clouds,4.23,287,1015,40,0x19F,0xFF,0xFF,0x7D,0x0F,0x38,0xFF,0x40,0xFE
5/25/2021,16:35:23,62.58,0,N,33.953793,-6.8514943,81,0.03704,0,2180.36,LOW,21.5,68,Clouds,4.23,287,1015,40,0x155,0x07,0x97,0xC7,0x54,0x61,0xC8,0x00,0x6E
5/25/2021,16:35:23,62.58,0,N,33.953793,-6.8514943,81,0.03704,0,2180.36,LOW,21.5,68,Clouds,4.23,287,1015,40,0x19F,0xFF,0xFF,0x7D,0x0F,0x38,0xFF,0x40,0xFE
5/25/2021,16:35:23,62.58,0,N,33.953793,-6.8514943,81,0.03704,0,2180.36,LOW,21.5,68,Clouds,4.23,287,1015,40,0x19F,0xFF,0xFF,0x7D,0x0F,0x38,0xFF,0x40,0xFE
5/25/2021,16:35:23,62.58,0,N,33.953793,-6.8514943,81,0.03704,0,2180.36,LOW,21.5,68,Clouds,4.23,287,1015,40,0x19F,0xFF,0xFF,0x7D,0x0F,0x38,0xFF,0x40,0xFE
5/25/2021,16:35:23,62.58,0,N,33.953793,-6.8514943,81,0.03704,0,2180.36,LOW,21.5,68,Clouds,4.23,287,1015,40,0x19F,0xFF,0xFF,0x7D,0x0F,0x38,0xFF,0x40,0xFE
5/25/2021,16:35:23,62.58,0,N,33.953793,-6.8514943,81,0.03704,0,2180.36,LOW,21.5,68,Clouds,4.23,287,1015,40,0x19F,0xFF,0xFF,0x7D,0x0F,0x38,0xFF,0x40,0xFE
5/25/2021,16:35:23,62.58,0,N,33.953793,-6.8514943,81,0.03704,0,2180.36,LOW,21.5,68,Clouds,4.23,287,1015,40,0x19F,0xFF,0xFF,0x7D,0x0F,0x38,0xFF,0x40,0xFE
5/25/2021,16:35:23,62.58,0,N,33.953793,-6.8514943,81,0.03704,0,2180.36,LOW,21.5,68,Clouds,4.23,287,1015,40,0x19F,0xFF,0xFF,0x7D,0x0F,0x38,0xFF,0x40,0xFE
5/25/2021,16:35:23,62.58,0,N,33.953793,-6.8514943,81,0.03704,0,2180.36,LOW,21.5,68,Clouds,4.23,287,1015,40,0x19F,0xFF,0xFF,0x7D,0x0F,0x38,0xFF,0x40,0xFE
5/25/2021,16:35:23,62.58,0,N,33.953793,-6.8514943,81,0.03704,0,2180.36,LOW,21.5,68,Clouds,4.23,287,1015,40,0x19F,0xFF,0xFF,0x7D,0x0F,0x38,0xFF,0x40,0xFE
5/25/2021,16:35:23,62.58,0,N,33.953793,-6.8514943,81,0.03704,0,2180.36,LOW,21.5,68,Clouds,4.23,287,1015,40,0x19F,0xFF,0xFF,0x7D,0x0F,0x38,0xFF,0x40,0xFE
5/25/2021,16:35:23,62.58,0,N,33.953793,-6.8514943,81,0.03704,0,2180.36,LOW,21.5,68,Clouds,4.23,287,1015,40,0x19F,0xFF,0xFF,0x7D,0x0F,0x38,0xFF,0x40,0xFE
5/25/2021,16:35:23,62.58,0,N,33.953793,-6.8514943,81,0.03704,0,2180.36,LOW,21.5,68,Clouds,4.23,287,1015,40,0x19F,0xFF,0xFF,0x7D,0x0F,0x38,0xFF,0x40,0xFE
5/25/2021,16:35:23,62.58,0,N,33.953793,-6.8514943,81,0.03704,0,2180.36,LOW,21.5,68,Clouds,4.23,287,1015,40,0x19F,0xFF,0xFF,0x7D,0x0F,0x38,0xFF,0x40,0xFE
5/25/2021,16:35:23,62.58,0,N,33.953793,-6.8514943,81,0.03704,0,2180.36,LOW,21.5,68,Clouds,4.23,287,1015,40,0x19F,0xFF,0xFF,0x7D,0x0F,0x38,0xFF,0x40,0xFE
5/25/2021,16:35:23,62.58,0,N,33.953793,-6.8514943,81,0.03704,0,2180.36,LOW,21.5,68,Clouds,4.23,287,1015,40,0x19F,0xFF,0xFF,0x7D,0x0F,0x38,0xFF,0x40,0xFE
5/25/2021,16:35:23,62.58,0,N,33.953793,-6.8514943,81,0.03704,0,2180.36,LOW,21.5,68,Clouds,4.23,287,1015,40,0x19F,0xFF,0xFF,0x7D,0x0F,0x38,0xFF,0x40,0xFE
5/25/2021,16:35:33,62.58,0,N,33.953796,-6.8514867,81,0.0926,0,2180.36,LOW,21.5,68,Clouds,4.23,287,1015,40,0x19F,0xFF,0xFF,0x7D,0x0F,0x38,0xFF,0x40,0xFE
5/25/2021,16:35:33,62.58,0,N,33.953796,-6.8514867,81,0.0926,0,2180.36,LOW,21.5,68,Clouds,4.23,287,1015,40,0x19F,0xFF,0xFF,0x7D,0x2F,0x38,0xFF,0x40,0xFE
5/25/2021,16:35:33,62.58,0,N,33.953796,-6.8514867,81,0.0926,0,2180.36,LOW,21.5,68,Clouds,4.23,287,1015,40,0x19F,0xFF,0xFF,0x7C,0xBF,0x38,0xFF,0x40,0xFE
5/25/2021,16:35:33,62.58,0,N,33.953796,-6.8514867,81,0.0926,0,2180.36,LOW,21.5,68,Clouds,4.23,287,1015,40,0x19F,0xFF,0xFF,0x7C,0xAF,0x38,0xFF,0x40,0xFE
5/25/2021,16:35:33,62.58,0,N,33.953796,-6.8514867,81,0.0926,0,2180.36,LOW,21.5,68,Clouds,4.23,287,1015,40,0x155,0x07,0x97,0xB1,0x54,0x61,0xC8,0x00,0x6E
5/25/2021,16:35:33,62.58,0,N,33.953796,-6.8514867,81,0.0926,0,2180.36,LOW,21.5,68,Clouds,4.23,287,1015,40,0x19F,0xFF,0xFF,0x7C,0xBF,0x38,0xFF,0x40,0xFE
5/25/2021,16:35:33,62.58,0,N,33.953796,-6.8514867,81,0.0926,0,2180.36,LOW,21.5,68,Clouds,4.23,287,1015,40,0x19F,0xFF,0xFF,0x7C,0xBF,0x38,0xFF,0x40,0xFE
5/25/2021,16:35:33,62.58,0.55,N,33.953796,-6.8514867,81,0.0926,0,2180.36,LOW,21.5,68,Clouds,4.23,287,1015,40,0x599,0x00,0x00,0x08,0x84,0xFF,0x26,0x00,0x37
5/25/2021,16:35:33,62.58,0.55,N,33.953796,-6.8514867,81,0.0926,0,2180.36,LOW,21.5,68,Clouds,4.23,287,1015,40,0x196,0x00,0xFF,0xE7,0x7B,0x70,0x64,0x0B,0x00
5/25/2021,16:35:33,62.58,0.55,N,33.953796,-6.8514867,81,0.0926,0,2180.36,LOW,21.5,68,Clouds,4.23,287,1015,40,0x19F,0xFF,0xFF,0x7C,0xAF,0x38,0xFF,0x40,0xFE
5/25/2021,16:35:33,62.58,0.55,N,33.953796,-6.8514867,81,0.0926,0,2180.36,LOW,21.5,68,Clouds,4.23,287,1015,40,0x19F,0xFF,0xFF,0x7C,0xAF,0x38,0xFF,0x40,0xFE
5/25/2021,16:35:33,62.58,0.55,N,33.953796,-6.8514867,81,0.0926,0,2180.36,LOW,21.5,68,Clouds,4.23,287,1015,40,0x155,0x07,0x97,0xB2,0x54,0x61,0xC8,0x00,0x6E
5/25/2021,16:35:33,62.58,0.55,N,33.953796,-6.8514867,81,0.0926,0,2180.36,LOW,21.5,68,Clouds,4.23,287,1015,40,0x19F,0xFF,0xFF,0x7C,0xAF,0x38,0xFF,0x40,0xFE
5/25/2021,16:35:33,62.58,0.55,N,33.953796,-6.8514867,81,0.0926,0,2180.36,LOW,21.5,68,Clouds,4.23,287,1015,40,0x19F,0xFF,0xFF,0x7C,0xAF,0x38,0xFF,0x40,0xFE
5/25/2021,16:35:33,62.58,0.55,N,33.953796,-6.8514867,81,0.0926,0,2180.36,LOW,21.5,68,Clouds,4.23,287,1015,40,0x19F,0xFF,0xFF,0x7C,0xAF,0x38,0xFF,0x40,0xFE
5/25/2021,16:35:33,62.58,0.55,N,33.953796,-6.8514867,81,0.0926,0,2180.36,LOW,21.5,68,Clouds,4.23,287,1015,40,0x155,0x07,0x97,0xB2,0x54,0x61,0xC8,0x00,0x6E
5/25/2021,16:35:33,62.58,0.55,N,33.953796,-6.8514867,81,0.0926,0,2180.36,LOW,21.5,68,Clouds,4.23,287,1015,40,0x19F,0xFF,0xFF,0x7C,0xAF,0x38,0xFF,0x40,0xFE
5/25/2021,16:35:33,62.58,0.55,N,33.953796,-6.8514867,81,0.0926,0,2180.36,LOW,21.5,68,Clouds,4.23,287,1015,40,0x19F,0xFF,0xFF,0x7C,0x9F,0x38,0xFF,0x40,0xFE
5/25/2021,16:35:33,62.58,0.55,N,33.953796,-6.8514867,81,0.0926,0,2180.36,LOW,21.5,68,Clouds,4.23,287,1015,40,0x19F,0xFF,0xFF,0x7C,0x9F,0x38,0xFF,0x40,0xFE
