epoch,train_loss,val_window_mae_kwh,grad_norm,l_state,w_state,w_boundary,w_prior,w_dynamics,dynamics_residual_mae,loss,l_window,l_boundary,dynamics_residual_rmse,w_window,l_prior,l_dynamics,val_mae_soc_event_0.1,val_mae_soc_event_0.2,val_mae_soc_event_0.5,val_mae_time_60s,val_mae_time_120s,val_mae_time_300s,val_mae_time_600s,val_mae_full_trip
0.0,2.0882006654372582,0.06744358746800572,0.9044909066472696,19.538437073047344,1.9538437073047346,0.0,0.0002047416640310145,0.0,0.014337798293966513,2.0882006654372582,0.1341521871777681,0.0,0.018908382178499147,0.1341521871777681,0.0020474166403101454,0.0003804892644089145,0.013120699673891068,0.013368072919547558,0.014420506544411182,0.013381953351199627,0.021348686888813972,0.0462636835873127,0.07536661624908447,0.34227848052978516
1.0,1.9846150599993193,0.10065100144129246,1.0436505168575216,19.21153761790349,1.9211537617903491,0.0,0.0034240156627045235,0.0,0.019397383699050315,1.9846150599993193,0.060037211586649604,0.0,0.029206481833870594,0.060037211586649604,0.03424015662704523,0.0010203390803116446,0.01426326297223568,0.014476155862212181,0.016731247305870056,0.01412298996001482,0.024651991203427315,0.053702566772699356,0.10119502246379852,0.5660647749900818
2.0,1.8685871546085064,0.06705248088110238,1.2959280161154259,17.946080978100117,1.7946080978100118,0.0,0.005059235628980857,0.0,0.04178923053237108,1.8685871546085064,0.06891976870023288,0.0,0.11072430415795399,0.06891976870023288,0.050592356289808564,0.015083042815184364,0.01339951902627945,0.01348484493792057,0.015191302634775639,0.013631453737616539,0.022536754608154297,0.047803983092308044,0.0723918080329895,0.337980180978775
3.0,1.7066187147910779,0.0702172116143629,1.1667326571987537,16.448808706723728,1.6448808706723725,0.0,0.005297908136764397,0.0,0.10381915219701253,1.7066187147910779,0.05643992025691729,0.0,0.2994336887047841,0.05643992025691729,0.05297908136764398,0.09319787587110813,0.013792745769023895,0.013843146152794361,0.016122452914714813,0.014025339856743813,0.023180682212114334,0.04825291410088539,0.08520215004682541,0.34731826186180115
4.0,1.5858115806029394,0.05793912254739553,1.1781641133638534,15.333860874176025,1.5333860874176026,0.0,0.0065832198955691765,0.0,0.17079624648277575,1.5858115806029394,0.04584227889203108,0.0,0.4709883492726546,0.04584227889203108,0.06583219895569178,0.2288022333612809,0.013735484331846237,0.013780288398265839,0.015910208225250244,0.01397495437413454,0.02266581729054451,0.045921552926301956,0.07904612272977829,0.2584785521030426
5.0,1.5177477368941674,0.06069988338276744,1.227170895064493,14.653581986060509,1.465358198606051,0.0,0.005454314342485025,0.0,0.21323636346138441,1.5177477368941674,0.046935201407625124,0.0,0.5784344994104825,0.046935201407625124,0.05454314342485024,0.35066654361211336,0.013789216056466103,0.013731882907450199,0.015502377413213253,0.013962335884571075,0.022521523758769035,0.04714346304535866,0.07294443994760513,0.28600382804870605
6.0,1.4789435175748973,0.09361280291341245,1.3122792539725943,14.18085688811082,1.4180856888110824,0.0,0.006355392646331054,0.0,0.218933567404747,1.4789435175748973,0.05450244892675143,0.0,0.6138606163171622,0.05450244892675143,0.06355392646331054,0.3957995279477193,0.014901894144713879,0.014952781610190868,0.017341822385787964,0.014926314353942871,0.025481387972831726,0.05434457212686539,0.09805753827095032,0.5088961124420166
7.0,1.4520343587948725,0.04739986977074295,1.6969822750228414,13.697594532599815,1.3697594532599817,0.0,0.004129856086980839,0.0,0.1950954353580108,1.4520343587948725,0.07814500137017323,0.0,0.6170758261130407,0.07814500137017323,0.04129856086980838,0.39042080021821535,0.012658693827688694,0.012698372825980186,0.014058063738048077,0.012949329800903797,0.020247267559170723,0.04409225657582283,0.06424801796674728,0.19824695587158203
8.0,1.4027780982164235,0.05069853086024523,1.7289491118269262,13.404679445120005,1.3404679445120005,0.0,0.0029400571321065608,0.0,0.1939344830237902,1.4027780982164235,0.059370085023916684,0.0,0.6391619879465836,0.059370085023916684,0.02940057132106561,0.4181117988549746,0.012830235995352268,0.012828557752072811,0.014395982958376408,0.012951255775988102,0.02088244818150997,0.0447276309132576,0.06612333655357361,0.22084879875183105
9.0,1.383935103049645,0.0460348540218547,1.8328753869515755,13.193839733417217,1.3193839733417219,0.0,0.0035489969815199196,0.0,0.19741121736856607,1.383935103049645,0.06100209157627363,0.0,0.6481697742755597,0.06100209157627363,0.03548996981519919,0.43096203758166385,0.012602603994309902,0.012661408632993698,0.014000598341226578,0.01283721812069416,0.020284373313188553,0.044309262186288834,0.06479433178901672,0.18678903579711914
