epoch,train_loss,val_window_mae_kwh,grad_norm,l_state,w_state,loss,l_window,w_window,val_mae_soc_event_0.1,val_mae_soc_event_0.2,val_mae_soc_event_0.5,val_mae_time_60s,val_mae_time_120s,val_mae_time_300s,val_mae_time_600s,val_mae_full_trip
0.0,2.3276516107412486,0.1718524442985654,6.491710710803195,19.953153206751896,1.9953153206751897,2.3276516107412486,0.3323362228962091,0.3323362228962091,0.02583472616970539,0.026075709611177444,0.02972688525915146,0.024549080058932304,0.041602540761232376,0.08430763334035873,0.16050375998020172,0.9822192192077637
1.0,2.144244978061089,0.26167067722417414,6.521717049775907,19.788197920872616,1.9788197920872614,2.144244978061089,0.16542513467944586,0.16542513467944586,0.028596030548214912,0.02993139810860157,0.032720185816287994,0.028745373710989952,0.0527472198009491,0.11717282235622406,0.21097637712955475,1.5924760103225708
2.0,2.08214271068573,0.2538266310002655,6.790809915041923,19.209774054013767,1.9209774054013766,2.08214271068573,0.16116530218949685,0.16116530218949685,0.02654821053147316,0.027048876509070396,0.03060515783727169,0.02539229579269886,0.047909777611494064,0.1098891943693161,0.21839934587478638,1.5448201894760132
3.0,1.918867262510153,0.13808656111359596,6.103349694710924,17.934147101182205,1.7934147101182205,1.918867262510153,0.12545252877932328,0.12545252877932328,0.02240978553891182,0.022612715139985085,0.02510056458413601,0.022011682391166687,0.03823964670300484,0.08299724012613297,0.13189950585365295,0.7594213485717773
4.0,1.7700936794281006,0.16394460946321487,6.418709582886077,16.669770057384785,1.6669770057384783,1.7700936794281006,0.1031166581580272,0.1031166581580272,0.020988119766116142,0.02134915068745613,0.02397817187011242,0.02048676833510399,0.03631076589226723,0.07602445781230927,0.14627136290073395,0.9661480784416199
5.0,1.6896008986693163,0.10761791444383562,6.127314795388381,15.758465106670673,1.5758465106670676,1.6896008986693163,0.1137543753362619,0.1137543753362619,0.019356565549969673,0.019754070788621902,0.021443897858262062,0.018705731257796288,0.03182343393564224,0.06453610211610794,0.11064014583826065,0.5746833682060242
6.0,1.6002548061884367,0.1774138722103089,6.690089179103064,15.101519217857948,1.5101519217857948,1.6002548061884367,0.09010284623274437,0.09010284623274437,0.02442673034965992,0.024781182408332825,0.026989217847585678,0.024461891502141953,0.04328366741538048,0.09656721353530884,0.14644016325473785,1.0323609113693237
7.0,1.5740113441760724,0.3630658118054271,7.200662418289165,14.446227367107685,1.4446227367107685,1.5740113441760724,0.12938861119059417,0.12938861119059417,0.03418666869401932,0.03441599756479263,0.03921958804130554,0.033690787851810455,0.06397728621959686,0.149494007229805,0.30506035685539246,2.2444818019866943
8.0,1.596924520455874,0.10830163629725575,7.747542814760668,13.985993972191444,1.3985993972191442,1.596924520455874,0.19832510501146317,0.19832510501146317,0.02035863883793354,0.02078171819448471,0.022858988493680954,0.020566286519169807,0.03415658697485924,0.07256435602903366,0.10941853374242783,0.5657079815864563
9.0,1.455058189538809,0.32858238322660327,6.750429173954523,13.63715780698336,1.3637157806983362,1.455058189538809,0.09134239961321537,0.09134239961321537,0.03111873008310795,0.031525351107120514,0.03577268868684769,0.030335841700434685,0.05792415514588356,0.13630428910255432,0.2754741907119751,2.0302038192749023
10.0,1.520198051746075,0.08866920950822532,6.6840619298276405,13.2891327051016,1.3289132705101603,1.520198051746075,0.1912847447853822,0.1912847447853822,0.019015343859791756,0.019605055451393127,0.02098957821726799,0.018434878438711166,0.030158210545778275,0.05935277044773102,0.09874802082777023,0.443049818277359
11.0,1.3707299782679632,0.1661368969362229,6.326976476179239,12.97511548262376,1.2975115482623762,1.3707299782679632,0.07321841269731522,0.07321841269731522,0.025320162996649742,0.025741472840309143,0.028501875698566437,0.02531908079981804,0.04435398802161217,0.09315010905265808,0.15459340810775757,0.9321150779724121
12.0,1.3970120640901418,0.30695803463459015,7.017657668350087,12.794702713306133,1.2794702713306132,1.3970120640901418,0.11754177654018769,0.11754177654018769,0.029608380049467087,0.02991047315299511,0.033887829631567,0.029039347544312477,0.0551476776599884,0.1263241469860077,0.25793078541755676,1.8938156366348267
13.0,1.384433347445268,0.10581426159478724,6.862561455598823,12.275106503413273,1.2275106503413273,1.384433347445268,0.15692268827786812,0.15692268827786812,0.021711217239499092,0.022276904433965683,0.02429334633052349,0.021784471347928047,0.03662412241101265,0.07567105442285538,0.12138471752405167,0.5227682590484619
14.0,1.3163062425760121,0.2945045686792582,6.705608609275326,12.18969359764686,1.2189693597646862,1.3163062425760121,0.0973368940445093,0.0973368940445093,0.028442993760108948,0.028895722702145576,0.03251498565077782,0.02768547460436821,0.052293237298727036,0.12137441337108612,0.24629999697208405,1.818529725074768
15.0,1.313909154671889,0.08676590002141893,6.762285430698029,11.537828115316538,1.1537828115316537,1.313909154671889,0.16012631385372236,0.16012631385372236,0.020320875570178032,0.020688608288764954,0.022568851709365845,0.02027338743209839,0.03337115794420242,0.06645478308200836,0.11356795579195023,0.3968815803527832
16.0,1.2261186104554396,0.29659186326898634,6.592357762636895,11.582581226642315,1.1582581226642317,1.2261186104554396,0.06786046263117057,0.06786046263117057,0.02848641388118267,0.02896834909915924,0.03259163722395897,0.02773832157254219,0.052319299429655075,0.12208796292543411,0.24758529663085938,1.8329576253890991
17.0,1.2579055290955763,0.07700017979368567,6.868003084313035,10.9184659077571,1.09184659077571,1.2579055290955763,0.16605890857485625,0.16605890857485625,0.019764794036746025,0.02007024921476841,0.021818842738866806,0.019761741161346436,0.03197483345866203,0.06237206235527992,0.10659419745206833,0.33364471793174744
18.0,1.1407043888018682,0.24242338119074702,6.465590593212538,10.75636339187622,1.075636339187622,1.1407043888018682,0.06506802886724472,0.06506802886724472,0.02516299858689308,0.025550829246640205,0.028626300394535065,0.024612275883555412,0.04573317617177963,0.10147332400083542,0.20382989943027496,1.4843982458114624
19.0,1.1669849799229548,0.12922399584203959,7.0864359410124775,10.358924388885498,1.03589243888855,1.1669849799229548,0.1310925383407336,0.1310925383407336,0.022172603756189346,0.022413715720176697,0.02431550994515419,0.02243056520819664,0.037346791476011276,0.07896677404642105,0.12557542324066162,0.7005705833435059
20.0,1.1123839433376606,0.24332124995999038,6.790322984796687,10.10284944681021,1.010284944681021,1.1123839433376606,0.1020989607159908,0.1020989607159908,0.024849750101566315,0.025311632081866264,0.028317147865891457,0.024183103814721107,0.04480752721428871,0.1015244796872139,0.20404405891895294,1.4935322999954224
21.0,1.1008438238730798,0.07468332489952445,6.84234909785383,9.660671344170204,0.9660671344170204,1.1008438238730798,0.1347766610292288,0.1347766610292288,0.019986726343631744,0.02014422044157982,0.021814538165926933,0.020133255049586296,0.0321958102285862,0.06386534124612808,0.10529439151287079,0.31403231620788574
22.0,1.0118099038417523,0.2686756970360875,6.535261197241801,9.447280388612013,0.9447280388612014,1.0118099038417523,0.06708184314461854,0.06708184314461854,0.026229020208120346,0.02672807313501835,0.03000195138156414,0.025522958487272263,0.04771614074707031,0.11099829524755478,0.22308321297168732,1.6591259241104126
23.0,1.0478794689361866,0.07298067980445921,6.883032024896763,8.990389493795542,0.8990389493795542,1.0478794689361866,0.14884050992818978,0.14884050992818978,0.019478125497698784,0.019674163311719894,0.021308142691850662,0.01955900713801384,0.03104279562830925,0.05984717980027199,0.1018311008810997,0.3111049234867096
24.0,0.9374298865978534,0.19326960388571024,6.463366590360934,8.729051626645601,0.8729051626645603,0.9374298865978534,0.06452469785626118,0.06452469785626118,0.022222114726901054,0.0226888470351696,0.025309933349490166,0.021675750613212585,0.03918427228927612,0.08464792370796204,0.1662338823080063,1.164194107055664
25.0,0.9546531645151285,0.11642194981686771,6.836958980129832,8.445457165057842,0.8445457165057844,0.9546531645151285,0.11010744078801228,0.11010744078801228,0.021308058872818947,0.020996058359742165,0.022622738033533096,0.021472284570336342,0.03502717986702919,0.0731360986828804,0.11462419480085373,0.6221889853477478
26.0,0.9017771849265466,0.22072727628983557,6.613315677672679,8.10460719695458,0.8104607196954581,0.9017771849265466,0.09131644408290203,0.09131644408290203,0.023479871451854706,0.023970846086740494,0.02686889097094536,0.02291705273091793,0.04183909669518471,0.09408135712146759,0.18762899935245514,1.3450320959091187
27.0,0.886543876849688,0.0753160985186696,6.35011332856495,7.642508506774902,0.7642508506774901,0.886543876849688,0.12229300404970463,0.12229300404970463,0.01926374062895775,0.019297348335385323,0.02086568810045719,0.019392913207411766,0.030490299686789513,0.05865858867764473,0.09745192527770996,0.3371082842350006
28.0,0.8113088332689725,0.18197543313726783,6.315262348238276,7.533237328896155,0.7533237328896156,0.8113088332689725,0.057985085707444414,0.057985085707444414,0.022193176671862602,0.022540077567100525,0.02511819824576378,0.021829789504408836,0.03882364556193352,0.08400477468967438,0.16443230211734772,1.0768615007400513
