epoch,train_loss,val_window_mae_kwh,grad_norm,l_state,w_state,loss,l_window,w_window,val_mae_soc_event_0.1,val_mae_soc_event_0.2,val_mae_soc_event_0.5,val_mae_time_60s,val_mae_time_120s,val_mae_time_300s,val_mae_time_600s,val_mae_full_trip
0.0,2.1806035729554982,0.38991311518475413,5.705599733469146,18.862366933089035,1.886236693308904,2.1806035729554982,0.29436681362298817,0.29436681362298817,0.03780820965766907,0.03896842524409294,0.043783992528915405,0.034590065479278564,0.07051454484462738,0.17248693108558655,0.34874221682548523,2.372410535812378
1.0,2.0414059253839345,0.2795349871739745,5.922062821487939,18.69528818130493,1.8695288181304937,2.0414059253839345,0.17187707326733148,0.17187707326733148,0.030262334272265434,0.031193500384688377,0.03467927873134613,0.02771686390042305,0.05382561683654785,0.128841370344162,0.25288522243499756,1.6768757104873657
2.0,1.9632199452473567,0.22169776423834264,6.332423192516838,18.09454844548152,1.809454844548152,1.9632199452473567,0.1537650554225995,0.1537650554225995,0.024748874828219414,0.025212746113538742,0.028289951384067535,0.02182753011584282,0.04226674139499664,0.10045731067657471,0.19890065491199493,1.3318783044815063
3.0,1.7914555164483876,0.09812017134390771,5.991344791574022,16.64645136319674,1.6646451363196737,1.7914555164483876,0.12681034665841323,0.12681034665841323,0.018756015226244926,0.019193314015865326,0.020295964553952217,0.017701515927910805,0.02967042103409767,0.06175144761800766,0.1131601333618164,0.5044325590133667
4.0,1.6266379127135644,0.22561445413157344,6.483863661152454,15.306867122650146,1.530686712265015,1.6266379127135644,0.095951169442672,0.095951169442672,0.02433113008737564,0.024949228391051292,0.027905523777008057,0.021764038130640984,0.04259038716554642,0.10138466209173203,0.19964413344860077,1.3623465299606323
5.0,1.6069887418013353,0.1362495555076748,6.3357873623737095,14.52559181360098,1.452559181360098,1.6069887418013353,0.15442954720212862,0.15442954720212862,0.01904178597033024,0.01923910342156887,0.02103448659181595,0.017338236793875694,0.02970324084162712,0.06701207906007767,0.12676756083965302,0.78985995054245
6.0,1.511525387947376,0.1256632029544562,6.607629578428652,14.073593653165377,1.4073593653165377,1.511525387947376,0.1041659927712037,0.1041659927712037,0.02156754583120346,0.022113166749477386,0.023528339341282845,0.020892195403575897,0.03581051155924797,0.08324410021305084,0.14567935466766357,0.6524704098701477
7.0,1.5451033665583684,0.1823292572516948,7.357050810026834,13.634440422058105,1.3634440422058107,1.5451033665583684,0.18165928813127372,0.18165928813127372,0.021111058071255684,0.02136871963739395,0.02361014299094677,0.01911463774740696,0.03506619483232498,0.08413024246692657,0.16439872980117798,1.0898343324661255
8.0,1.481874433847574,0.11756679322570562,8.213075587310747,13.134876031142015,1.3134876031142015,1.481874433847574,0.16838680064448944,0.16838680064448944,0.020434308797121048,0.021038327366113663,0.023089727386832237,0.019068347290158272,0.03357813507318497,0.074761301279068,0.13850779831409454,0.6100564002990723
9.0,1.394894879597884,0.2092324907425791,7.839060227416861,12.878676047691933,1.2878676047691933,1.394894879597884,0.10702724468249541,0.10702724468249541,0.02498793788254261,0.025512753054499626,0.02802392840385437,0.023813413456082344,0.04253067821264267,0.10004452615976334,0.1988212615251541,1.2301254272460938
10.0,1.4936751769139216,0.06627029879018664,8.133566313900193,12.73625872685359,1.2736258726853589,1.4936751769139216,0.22004930904278389,0.22004930904278389,0.02035788632929325,0.020732766017317772,0.022882116958498955,0.0191351305693388,0.03317467123270035,0.06865900754928589,0.12222962826490402,0.2229911834001541
11.0,1.3506643863824697,0.2048123199492693,6.684087916664146,12.55422152005709,1.2554221520057092,1.3506643863824697,0.0952422134578228,0.0952422134578228,0.023001449182629585,0.02350710704922676,0.026174044236540794,0.02120635285973549,0.03896927833557129,0.0945713222026825,0.18953368067741394,1.221535325050354
