epoch,train_loss,val_window_mae_kwh,grad_norm,l_state,w_state,w_boundary,w_prior,w_dynamics,dynamics_residual_mae,loss,l_window,l_boundary,dynamics_residual_rmse,w_window,l_prior,l_dynamics
0.0,2.219270519912243,,0.9655331751769409,20.922282814979553,2.0922282814979556,0.0,0.00037668914330879494,0.0,0.014325843134429306,2.219270519912243,0.1266655484214425,0.0,0.019080644997302443,0.1266655484214425,0.003766891433087949,0.00039055428715073504
1.0,2.089100070297718,,1.244797563760283,20.269699215888977,2.026969921588898,0.0,0.0037681418529246008,0.0,0.023110499023459852,2.089100070297718,0.05836198618635535,0.0,0.04643462342210114,0.05836198618635535,0.037681418529246,0.0030013294035597937
2.0,1.8989208191633224,,1.2899891026725339,18.40333640575409,1.8403336405754092,0.0,0.004885110404575244,0.0,0.07055633421987295,1.8989208191633224,0.053702026256360114,0.0,0.20942740328609943,0.053702026256360114,0.048851104045752436,0.049869203066919
3.0,1.7425559051334858,,1.4191407519298362,16.792806953191757,1.679280695319176,0.0,0.00499906245386228,0.0,0.15835429308936,1.7425559051334858,0.05827611684799194,0.0,0.43610483035445213,0.05827611684799194,0.0499906245386228,0.19548674253746867
4.0,1.6317426227033138,,1.597538813700737,15.623195260763168,1.562319526076317,0.0,0.002425132220378146,0.0,0.20171159273013473,1.6317426227033138,0.0669979666126892,0.0,0.5688148140907288,0.0669979666126892,0.024251322203781456,0.33521325327456
5.0,1.5455749705433846,,1.7785456257085435,14.843245804309845,1.4843245804309846,0.0,0.002740907948464155,0.0,0.2026700945571065,1.5455749705433846,0.05850945704150945,0.0,0.6280402038246393,0.05850945704150945,0.027409079484641552,0.40396309178322554
6.0,1.5013663619756699,,2.1024943034718095,14.2998968064785,1.42998968064785,0.0,0.0023907192284241315,0.0,0.197060979437083,1.5013663619756699,0.06898593786172569,0.0,0.6794678289443254,0.06898593786172569,0.02390719228424132,0.4738118564710021
7.0,1.4617070369422436,,2.032254917990821,14.005201637744904,1.4005201637744904,0.0,0.002740433195140213,0.0,0.2127118306234479,1.4617070369422436,0.05844641639851034,0.0,0.7351806797087193,0.05844641639851034,0.027404331951402128,0.5550208296626806
8.0,1.4373726956546307,,2.2074667661608744,13.756085842847824,1.3756085842847825,0.0,0.004054080147761851,0.0,0.2036608923226595,1.4373726956546307,0.057710003457032144,0.0,0.729227414354682,0.057710003457032144,0.040540801477618515,0.5490443054586649
9.0,1.4314853996038437,,2.15209763219314,13.673713594675064,1.3673713594675063,0.0,0.002538169611943886,0.0,0.21127428952604532,1.4314853996038437,0.06157585058826953,0.0,0.7670274339616299,0.06157585058826953,0.025381696119438857,0.6105523612350225
