epoch,train_loss,val_window_mae_kwh,grad_norm,l_state,w_state,w_boundary,w_prior,w_dynamics,dynamics_residual_mae,loss,l_window,l_boundary,dynamics_residual_rmse,w_window,l_prior,l_dynamics,val_mae_full_trip
0.0,2.752591527425326,0.5840173363685608,5.3151323130596175,20.66367978316087,2.066367978316087,0.0,0.00015209837654485734,0.00037067106033926114,0.014250934553834109,2.752591527425326,0.6857007627303784,0.0,0.018765904725744173,0.6857007627303784,0.0015209837654485735,0.00037067106033926114,0.5840173363685608
1.0,2.3063502403405995,0.21355347335338593,6.957749638027992,20.513954089238094,2.0513954089238093,0.0,0.002468129236680957,0.0005099971827943451,0.0171494223177433,2.3063502403405995,0.2519766628795948,0.0,0.02189358051579732,0.2519766628795948,0.02468129236680957,0.0005099971827943451,0.21355347335338593
2.0,2.3227622096355143,0.5408434867858887,7.847617673125798,20.0611692575308,2.0061169257530804,0.0,0.004339249636261509,0.0016546923703012557,0.023255737498402596,2.3227622096355143,0.31065129144833636,0.0,0.03820992762652727,0.31065129144833636,0.04339249636261509,0.0016546923703012557,0.5408434867858887
3.0,2.1562405824661255,0.25818803906440735,6.97939638679072,18.926797500023476,1.8926797500023476,0.0,0.0030624359058072934,0.01173106375007102,0.04586255120543333,2.1562405824661255,0.24876727966161874,0.0,0.10318717589745155,0.24876727966161874,0.030624359058072932,0.01173106375007102,0.25818803906440735
4.0,1.9645135265130262,0.32126471400260925,7.199266970741348,17.21731075873742,1.7217310758737416,0.0,0.0030100672720716547,0.05647534547516933,0.09232693108228537,1.9645135265130262,0.18329698707048708,0.0,0.2328235965508681,0.18329698707048708,0.03010067272071655,0.05647534547516933,0.32126471400260925
5.0,1.9200409215230207,0.16710932552814484,7.0041245564722,16.095591655144325,1.6095591655144323,0.0,0.0030300579606913603,0.09486992628528522,0.1212720527098729,1.9200409215230207,0.2125817435578658,0.0,0.30310834027253664,0.2125817435578658,0.030300579606913604,0.09486992628528522,0.16710932552814484
6.0,1.850307285785675,0.208613321185112,7.548347455837507,15.468759830181416,1.5468759830181418,0.0,0.0034661562826771002,0.09429515898227692,0.12161673892002839,1.850307285785675,0.2056700045672747,0.0,0.3029834765654344,0.2056700045672747,0.034661562826771006,0.09429515898227692,0.208613321185112
7.0,1.7654638657203088,0.2597210109233856,7.485197465902105,14.956056191371037,1.4956056191371039,0.0,0.0030996481816355998,0.09262585066832028,0.1223915832547041,1.7654638657203088,0.1741327358266482,0.0,0.3004706158087804,0.1741327358266482,0.030996481816356,0.09262585066832028,0.2597210109233856
8.0,1.730598170023698,0.21915729343891144,7.725522965549449,14.515737570249117,1.451573757024912,0.0,0.0029499385219353895,0.09199787733646539,0.11920786075867139,1.730598170023698,0.184076579216008,0.0,0.30044631774608904,0.184076579216008,0.029499385219353896,0.09199787733646539,0.21915729343891144
9.0,1.6920969715485206,0.43179336190223694,7.964840467808519,14.041534497187687,1.4041534497187687,0.0,0.0030884705913754615,0.09005692859108631,0.11473326327709052,1.6920969715485206,0.19479804278279728,0.0,0.2966960450777641,0.19479804278279728,0.03088470591375461,0.09005692859108631,0.43179336190223694
10.0,1.6525862216949463,0.32452234625816345,7.81707342327868,13.645062446594238,1.364506244659424,0.0,0.003329456497270328,0.08635520104032296,0.11282823865230267,1.6525862216949463,0.1983952701378327,0.0,0.28899079675857836,0.1983952701378327,0.03329456497270327,0.08635520104032296,0.32452234625816345
11.0,1.6278617886396556,0.4029568135738373,7.980165478493816,13.289612770080566,1.3289612770080566,0.0,0.0027373122122998426,0.09505788752665886,0.11563363327429844,1.6278617886396556,0.20110531681432173,0.0,0.3027382091833995,0.20110531681432173,0.02737312212299842,0.09505788752665886,0.4029568135738373
12.0,1.604562759399414,0.24270184338092804,7.407830489121351,12.89965607569768,1.2899656075697679,0.0,0.0033447610285992813,0.09157912862988618,0.11592083596266232,1.604562759399414,0.21967323852452234,0.0,0.29640838503837585,0.21967323852452234,0.03344761028599281,0.09157912862988618,0.24270184338092804
13.0,1.5695420228517973,0.41051343083381653,7.935643630191829,12.644800883073072,1.2644800883073075,0.0,0.003682897340219755,0.0824142608505029,0.11107101577978867,1.5695420228517973,0.21896478505088732,0.0,0.2818126277281688,0.21896478505088732,0.03682897340219755,0.0824142608505029,0.41051343083381653
14.0,1.5197417873602648,0.1922333687543869,7.357106341315802,12.206455634190487,1.220645563419049,0.0,0.0035030061020874066,0.08869556137002431,0.11284829217654008,1.5197417873602648,0.20689763257709834,0.0,0.2914736442841016,0.20689763257709834,0.03503006102087406,0.08869556137002431,0.1922333687543869
