epoch,train_loss,val_window_mae_kwh,grad_norm,l_window,w_window,val_mae_soc_event_0.1,val_mae_soc_event_0.2,val_mae_soc_event_0.5,val_mae_time_60s,val_mae_time_120s,val_mae_time_300s,val_mae_time_600s,val_mae_full_trip
0.0,0.3200868528622847,0.25736682233400643,6.388957510075906,0.3200868528622847,0.3200868528622847,0.029666639864444733,0.030571233481168747,0.03390266001224518,0.026711905375123024,0.05133574828505516,0.1204356700181961,0.22842660546302795,1.5378841161727905
1.0,0.1699721202827417,0.22175909113138914,6.524631837236667,0.1699721202827417,0.1699721202827417,0.027733277529478073,0.0288988146930933,0.032396748661994934,0.02638821117579937,0.049662429839372635,0.11416426301002502,0.20933572947978973,1.28549325466156
2.0,0.15899427951528475,0.24660660326480865,6.8904227578423,0.15899427951528475,0.15899427951528475,0.027827205136418343,0.028674622997641563,0.032213419675827026,0.025213271379470825,0.04921527951955795,0.117150217294693,0.22622506320476532,1.4663337469100952
3.0,0.1745361817570833,0.12661683303304017,5.991774645732324,0.1745361817570833,0.1745361817570833,0.0221104696393013,0.022953081876039505,0.02564641460776329,0.019931336864829063,0.0372198112308979,0.08252529054880142,0.15175798535346985,0.650790274143219
4.0,0.08837031429776779,0.11523669073358178,5.643577612686926,0.08837031429776779,0.08837031429776779,0.02048071287572384,0.021518345922231674,0.023516567423939705,0.01928182691335678,0.03518880158662796,0.08037726581096649,0.14581017196178436,0.5757198333740234
5.0,0.08090323868852395,0.14392011822201312,5.699224808813,0.08090323868852395,0.08090323868852395,0.021670322865247726,0.022309374064207077,0.02508401870727539,0.019605660811066628,0.037135593593120575,0.08374740928411484,0.1551915854215622,0.7866169810295105
6.0,0.11428022384643555,0.18565410282462835,5.531702414606784,0.11428022384643555,0.11428022384643555,0.025181710720062256,0.026029011234641075,0.0287050511687994,0.024802107363939285,0.04618174582719803,0.10812471807003021,0.2042953073978424,1.0219131708145142
7.0,0.11143306757395084,0.14757769694551826,5.880822639704801,0.11143306757395084,0.11143306757395084,0.02143256552517414,0.02204951085150242,0.024859627708792686,0.0194516833871603,0.03689124062657356,0.0822945237159729,0.1523326188325882,0.8213098049163818
8.0,0.1419830623154457,0.12113565090112388,5.489603034671128,0.1419830623154457,0.1419830623154457,0.01944778673350811,0.020431410521268845,0.022301722317934036,0.018435634672641754,0.03380192816257477,0.0781550258398056,0.14914515614509583,0.6273665428161621
9.0,0.08184017527561921,0.14727663667872548,5.435260141510493,0.08184017527561921,0.08184017527561921,0.022053275257349014,0.022935038432478905,0.02493112161755562,0.021771861240267754,0.03946568816900253,0.09379905462265015,0.17563769221305847,0.7776193618774414
10.0,0.09438045666768001,0.17390647949650884,5.690373243954434,0.09438045666768001,0.09438045666768001,0.02189023420214653,0.022473391145467758,0.025698736310005188,0.02001200243830681,0.03813832998275757,0.08773623406887054,0.16675131022930145,1.0085515975952148
11.0,0.15494172819531882,0.09463919792324305,5.39342951449324,0.15494172819531882,0.15494172819531882,0.018404465168714523,0.019047649577260017,0.021309860050678253,0.01730206236243248,0.030774114653468132,0.06873882561922073,0.12763552367687225,0.453901082277298
12.0,0.07888489531782958,0.16576909204013646,5.103345855332368,0.07888489531782958,0.07888489531782958,0.022916946560144424,0.023826727643609047,0.025975704193115234,0.022847265005111694,0.04142921045422554,0.10032270103693008,0.18319280445575714,0.9056413769721985
13.0,0.10962230139053784,0.14024775102734566,5.539566885839388,0.10962230139053784,0.10962230139053784,0.020157817751169205,0.020784147083759308,0.02355353534221649,0.01851551979780197,0.03470432385802269,0.07770875096321106,0.14066798985004425,0.7858899235725403
14.0,0.12953442736313894,0.08163328049704432,5.14802995972605,0.12953442736313894,0.12953442736313894,0.01822356879711151,0.01908307522535324,0.020658984780311584,0.017535168677568436,0.030467316508293152,0.06914958357810974,0.12619340419769287,0.35175514221191406
15.0,0.07005356567410323,0.10359293106012046,5.103932484430803,0.07005356567410323,0.07005356567410323,0.019076630473136902,0.019672824069857597,0.021832432597875595,0.017973672598600388,0.03263315558433533,0.07573312520980835,0.14121632277965546,0.5006052851676941
16.0,0.07793361249451454,0.0871248038019985,5.061233540871437,0.07793361249451454,0.07793361249451454,0.017350642010569572,0.017903685569763184,0.020093142986297607,0.016281966120004654,0.028226252645254135,0.061144642531871796,0.10725941509008408,0.42873868346214294
17.0,0.08936992717476991,0.12130785058252513,5.005373163053656,0.08936992717476991,0.08936992717476991,0.019018804654479027,0.019980445504188538,0.02117535099387169,0.01934679225087166,0.03309876471757889,0.07987717539072037,0.1364690512418747,0.6414964199066162
18.0,0.07742976726820835,0.09270124998874962,5.0995879023126625,0.07742976726820835,0.07742976726820835,0.01848771795630455,0.019031835719943047,0.021427776664495468,0.01757846027612686,0.031376954168081284,0.07123610377311707,0.13077804446220398,0.43169310688972473
19.0,0.08149369032337116,0.08527596481144428,4.876622830008148,0.08149369032337116,0.08149369032337116,0.017655780538916588,0.01871316321194172,0.01976211927831173,0.017533086240291595,0.029946262016892433,0.06797599047422409,0.12395123392343521,0.3866700828075409
20.0,0.0704159066081047,0.0639130575582385,5.112937474438265,0.0704159066081047,0.0704159066081047,0.016880273818969727,0.017484793439507484,0.019358549267053604,0.016434231773018837,0.027416177093982697,0.06125626713037491,0.11235041916370392,0.24012374877929688
21.0,0.06414763600780414,0.11634657368995249,4.752674298288658,0.06414763600780414,0.06414763600780414,0.018723417073488235,0.019689545035362244,0.020879006013274193,0.019157662987709045,0.03252361714839935,0.07796483486890793,0.13772736489772797,0.604107141494751
22.0,0.08081111168632141,0.07606484601274133,5.254880457134434,0.08081111168632141,0.08081111168632141,0.017195256426930428,0.017755450680851936,0.020016873255372047,0.01623818837106228,0.028168685734272003,0.06271213293075562,0.11385450512170792,0.3325776755809784
23.0,0.07875389261887623,0.1706775538623333,4.937280738152717,0.07875389261887623,0.07875389261887623,0.022338230162858963,0.023064598441123962,0.02478591352701187,0.022695254534482956,0.04011856019496918,0.09659049659967422,0.18189729750156403,0.9539300799369812
24.0,0.11419757971396813,0.09404227160848677,5.297621328363864,0.11419757971396813,0.11419757971396813,0.017969924956560135,0.018472064286470413,0.021021947264671326,0.016875457018613815,0.030087007209658623,0.06720639765262604,0.12298965454101562,0.4577157199382782
25.0,0.09716280635732871,0.10443572816438973,4.8475803413876175,0.09716280635732871,0.09716280635732871,0.018413901329040527,0.01938004605472088,0.020699534565210342,0.018478233367204666,0.031732674688100815,0.07361703366041183,0.14323599636554718,0.5099284052848816
26.0,0.07879044058231208,0.07658391469158232,4.932306406131264,0.07879044058231208,0.07879044058231208,0.017009472474455833,0.01755073294043541,0.01976648159325123,0.016032950952649117,0.027492284774780273,0.06027719005942345,0.10900606215000153,0.34553614258766174
