epoch,train_loss,val_window_mae_kwh,grad_norm,l_state,w_state,w_boundary,w_prior,w_dynamics,dynamics_residual_mae,loss,l_window,l_boundary,dynamics_residual_rmse,w_window,l_prior,l_dynamics
0.0,2.2547434493899345,,0.9673211136057271,21.249695360660553,2.1249695360660557,0.0,0.0003701763704157202,0.0003935942349926336,0.014393973397091031,2.2547434493899345,0.12901011016219854,0.0,0.019147206272464246,0.12901011016219854,0.0037017637041572016,0.0003935942349926336
1.0,2.1281650066375732,,1.2388529190226112,20.609270691871643,2.0609270691871644,0.0,0.003750814561499283,0.0028478920976340305,0.023154950293246657,2.1281650066375732,0.06063922052271664,0.0,0.045523132546804845,0.06063922052271664,0.03750814561499283,0.0028478920976340305
2.0,1.979541800916195,,1.2298222705468889,18.81140723824501,1.881140723824501,0.0,0.004889129428192973,0.03806423087371513,0.06488101230934262,1.979541800916195,0.05544767796527594,0.0,0.18570446129888296,0.05544767796527594,0.04889129428192973,0.03806423087371513
3.0,1.8817653842270374,,1.3427394278270248,17.394401639699936,1.7394401639699937,0.0,0.0033908603247255085,0.08104038762394339,0.10799246607348323,1.8817653842270374,0.057893923250958323,0.0,0.27804281562566757,0.057893923250958323,0.03390860324725509,0.08104038762394339
4.0,1.8034459725022316,,1.5037719282841848,16.529695361852646,1.6529695361852648,0.0,0.0031475775525905193,0.08787717670202255,0.11258732387796044,1.8034459725022316,0.05945164384320378,0.0,0.2918478175997734,0.05945164384320378,0.03147577552590519,0.08787717670202255
5.0,1.7378196530044079,,1.7353155500074786,15.760943800210953,1.5760943800210954,0.0,0.002789404516806826,0.09731668373569846,0.11133578373119235,1.7378196530044079,0.061619185958988965,0.0,0.30793252494186163,0.061619185958988965,0.02789404516806826,0.09731668373569846
6.0,1.6862824149429798,,1.9191346706619672,15.285058945417404,1.5285058945417405,0.0,0.0029550003237091005,0.09467490669339895,0.10817064857110381,1.6862824149429798,0.0601466215448454,0.0,0.30334682296961546,0.0601466215448454,0.029550003237091005,0.09467490669339895
7.0,1.6437008865177631,,2.038315985805659,14.873263955116272,1.4873263955116274,0.0,0.0036138157942332333,0.09405909548513591,0.1078515350818634,1.6437008865177631,0.058701563510112464,0.0,0.3013352695852518,0.058701563510112464,0.03613815794233233,0.09405909548513591
8.0,1.6022761836647987,,2.051641744154491,14.504922807216644,1.4504922807216647,0.0,0.004197357027442195,0.09013014892116189,0.10757222771644592,1.6022761836647987,0.05745641246903688,0.0,0.2942737303674221,0.05745641246903688,0.041973570274421945,0.09013014892116189
9.0,1.5750733502209187,,2.1573979932606946,14.171810388565063,1.4171810388565063,0.0,0.0027051603596191854,0.09190615126863122,0.10803436581045389,1.5750733502209187,0.06328096590004861,0.0,0.2952760895714164,0.06328096590004861,0.027051603596191853,0.09190615126863122
10.0,1.5425180792808533,,2.105515841344942,13.803643584251404,1.3803643584251404,0.0,0.004151326541614254,0.09070374490693212,0.10873283492401242,1.5425180792808533,0.06729862932115793,0.0,0.29308606404811144,0.06729862932115793,0.04151326541614253,0.09070374490693212
