epoch,train_loss,val_window_mae_kwh,grad_norm,l_window,w_window
0.0,0.33877007151022553,,7.152114259485186,0.33877007151022553,0.33877007151022553
1.0,0.12018186342902482,,6.588707333486785,0.12018186342902482,0.12018186342902482
2.0,0.14268754771910608,,7.085005899908305,0.14268754771910608,0.14268754771910608
3.0,0.1358394823037088,,6.486552542077014,0.1358394823037088,0.1358394823037088
4.0,0.18097261036746204,,6.9753958755273135,0.18097261036746204,0.18097261036746204
5.0,0.19046802003867924,,6.028698495089268,0.19046802003867924,0.19046802003867924
6.0,0.0795528688468039,,5.787295230384793,0.0795528688468039,0.0795528688468039
7.0,0.12470749695785344,,6.276336856676181,0.12470749695785344,0.12470749695785344
8.0,0.13629532721824944,,5.839712555009374,0.13629532721824944,0.13629532721824944
9.0,0.11570499069057405,,6.188151066924126,0.11570499069057405,0.11570499069057405
10.0,0.12829364091157913,,5.643939942543588,0.12829364091157913,0.12829364091157913
11.0,0.10197833320125937,,5.894882507033243,0.10197833320125937,0.10197833320125937
12.0,0.15490287309512496,,5.648947848078846,0.15490287309512496,0.15490287309512496
13.0,0.06943792244419456,,5.370607811656244,0.06943792244419456,0.06943792244419456
14.0,0.08009855332784355,,5.3228234025260175,0.08009855332784355,0.08009855332784355
15.0,0.08546522236429155,,5.3810353859074915,0.08546522236429155,0.08546522236429155
16.0,0.07236434146761894,,5.1880309212306805,0.07236434146761894,0.07236434146761894
17.0,0.08506107935681939,,5.06861480082601,0.08506107935681939,0.08506107935681939
18.0,0.09470165451057255,,5.571571483001154,0.09470165451057255,0.09470165451057255
19.0,0.13066946878097951,,5.352923127877332,0.13066946878097951,0.13066946878097951
20.0,0.07758340914733708,,5.256295211837271,0.07758340914733708,0.07758340914733708
21.0,0.10408808058127761,,5.00704261852216,0.10408808058127761,0.10408808058127761
22.0,0.10839010449126363,,5.575956080111746,0.10839010449126363,0.10839010449126363
23.0,0.13118360890075564,,5.258579988742184,0.13118360890075564,0.13118360890075564
24.0,0.07320487685501575,,5.122105920314776,0.07320487685501575,0.07320487685501575
25.0,0.09485544892959297,,4.977297814763092,0.09485544892959297,0.09485544892959297
26.0,0.08490872196853161,,5.237687513485775,0.08490872196853161,0.08490872196853161
27.0,0.10994046274572611,,5.044794066733521,0.10994046274572611,0.10994046274572611
28.0,0.08623502519913018,,5.20147852551207,0.08623502519913018,0.08623502519913018
29.0,0.13311468320898712,,5.202336985934344,0.13311468320898712,0.13311468320898712
30.0,0.0723967170342803,,5.2179405222688935,0.0723967170342803,0.0723967170342803
31.0,0.08744089445099235,,5.120704753813653,0.08744089445099235,0.08744089445099235
32.0,0.07412960287183523,,4.946755785966782,0.07412960287183523,0.07412960287183523
33.0,0.07257104385644197,,5.061724235595456,0.07257104385644197,0.07257104385644197
34.0,0.07939102710224688,,5.068645184229422,0.07939102710224688,0.07939102710224688
35.0,0.10150822717696428,,5.4721273250722655,0.10150822717696428,0.10150822717696428
36.0,0.09919370035640895,,5.065075759688609,0.09919370035640895,0.09919370035640895
37.0,0.08704547793604434,,4.716542326913343,0.08704547793604434,0.08704547793604434
38.0,0.10610435483977199,,4.892925628605834,0.10610435483977199,0.10610435483977199
39.0,0.07416657637804747,,4.89164849967773,0.07416657637804747,0.07416657637804747
40.0,0.09882153593935072,,4.832152058414723,0.09882153593935072,0.09882153593935072
41.0,0.06623334682080895,,4.871534229868057,0.06623334682080895,0.06623334682080895
42.0,0.06961074518039823,,4.8136279016578225,0.06961074518039823,0.06961074518039823
43.0,0.06515487690921873,,4.653955009084351,0.06515487690921873,0.06515487690921873
44.0,0.07071990927215666,,4.908757802603475,0.07071990927215666,0.07071990927215666
45.0,0.08839858148712665,,4.823814370480259,0.08839858148712665,0.08839858148712665
