epoch,train_loss,val_window_mae_kwh,grad_norm,w_state,dynamics_residual_rmse,w_boundary,l_dynamics,loss,w_window,dynamics_residual_mae,w_prior,l_window,w_dynamics,l_prior,l_boundary,l_state,val_mae_soc_event_0.1,val_mae_soc_event_0.2,val_mae_soc_event_0.5,val_mae_time_60s,val_mae_time_120s,val_mae_time_300s,val_mae_time_600s,val_mae_full_trip
0.0,2.0408745453907895,0.07950478757265955,0.8524570816453735,1.904922338632437,0.01942963618785143,0.0,0.00039324755198322237,2.0408745453907895,0.13538821843954232,0.01484082775333753,0.00017074528256601364,0.13538821843954232,0.00039324755198322237,0.0017074528256601368,0.0,19.049223386324368,0.0129474475979805,0.013160490430891514,0.016223637387156487,0.01302003487944603,0.02275064028799534,0.05001731216907501,0.0803704783320427,0.42754825949668884
1.0,1.9498103260993958,0.05933514388743788,1.0286509990194586,1.875917335656973,0.027413039826429807,0.0,0.0008593206708050835,1.9498103260993958,0.07010868521263966,0.01932995658940994,0.002924951429192263,0.07010868521263966,0.0008593206708050835,0.029249514291922633,0.0,18.75917335656973,0.011782970279455185,0.011897621676325798,0.015049266628921032,0.011164356023073196,0.01995248720049858,0.043055012822151184,0.07977308332920074,0.2820063531398773
2.0,1.8281103464273305,0.05436881456989795,1.156568952168428,1.7548731730534481,0.09424825872366245,0.0,0.010877687770586748,1.8281103464273305,0.056687039824632496,0.03998945338221697,0.005672447297435541,0.056687039824632496,0.010877687770586748,0.05672447297435541,0.0,17.54873173053448,0.011749141849577427,0.01196762453764677,0.01500688586384058,0.011357998475432396,0.020177004858851433,0.0444142147898674,0.08273246884346008,0.2375451773405075
3.0,1.7197742691406837,0.08506602665875107,1.0739458374161333,1.599881806740394,0.23625388397620276,0.0,0.05787792558280321,1.7197742691406837,0.055923763376015886,0.08947224972339776,0.006090725901035162,0.055923763376015886,0.05787792558280321,0.06090725901035162,0.0,15.99881806740394,0.01237128209322691,0.012479702942073345,0.01582903228700161,0.011922775767743587,0.02163883112370968,0.049446675926446915,0.09716197848320007,0.45967793464660645
4.0,1.6593356453455412,0.05109816591721028,1.2402164546147925,1.5083490298344537,0.2770405893142407,0.0,0.0824258800309438,1.6593356453455412,0.06423223477143508,0.10718008188100961,0.004328456435066004,0.06423223477143508,0.0824258800309438,0.04328456435066003,0.0,15.08349029834454,0.011534073390066624,0.011586269363760948,0.014947040937840939,0.01114416029304266,0.019705725833773613,0.04111016169190407,0.07440915703773499,0.2243487387895584
5.0,1.5971881563846881,0.07654019608162344,1.2096616745655182,1.460026737359854,0.2743616768947014,0.0,0.07981140825610894,1.5971881563846881,0.05266040420302978,0.10738810839561316,0.0046895662394280625,0.05266040420302978,0.07981140825610894,0.04689566239428062,0.0,14.60026737359854,0.011931587010622025,0.012062698602676392,0.015517085790634155,0.011605767533183098,0.02065124735236168,0.04610668867826462,0.08670160919427872,0.4077448844909668
6.0,1.572730963046734,0.0545981505420059,1.4427311718398017,1.4079201221466064,0.2902224063873291,0.0,0.08748755432092227,1.572730963046734,0.07351171984695472,0.10858661509477176,0.003811511261245379,0.07351171984695472,0.08748755432092227,0.03811511261245379,0.0,14.079201221466064,0.011702188290655613,0.011744583025574684,0.01513948105275631,0.011185734532773495,0.019900305196642876,0.04110526293516159,0.07448036968708038,0.2515272796154022
7.0,1.514170256944803,0.09857989847660065,1.414693850082737,1.372502748782818,0.28498578186218554,0.0,0.08483310043811798,1.514170256944803,0.05215749889612198,0.10684341192245483,0.0046768874216538215,0.05215749889612198,0.08483310043811798,0.046768874216538206,0.0,13.725027487828182,0.012900189496576786,0.013071764260530472,0.016659950837492943,0.012232811190187931,0.02259764075279236,0.05239788070321083,0.10336445271968842,0.5554144978523254
8.0,1.5083150221751287,0.0720945994835347,1.6113689249003647,1.3547871369581956,0.27864157924285304,0.0,0.0812209489253851,1.5083150221751287,0.06789272994949268,0.10508720748699628,0.0044141704861361255,0.06789272994949268,0.0812209489253851,0.04414170486136125,0.0,13.547871369581957,0.012532307766377926,0.012606848031282425,0.01610875129699707,0.011698081158101559,0.0215853750705719,0.04525883123278618,0.08728741854429245,0.36967918276786804
9.0,1.4755872579721303,0.11402860807720572,1.5116178828153848,1.3264978848970854,0.2766452867251176,0.0,0.0803430349780963,1.4755872579721303,0.0636668663758498,0.10698184485618885,0.005079437628424225,0.0636668663758498,0.0803430349780963,0.05079437628424225,0.0,13.264978848970854,0.013754677958786488,0.013987979851663113,0.01776031032204628,0.013081931509077549,0.024384960532188416,0.05787215009331703,0.11624079197645187,0.655146062374115
10.0,1.46284707234456,0.0812994057778269,1.661132104206693,1.30943173628587,0.27381594937581283,0.0,0.07905772672249721,1.46284707234456,0.06887606330789052,0.10653604108553666,0.0054815658224889865,0.06887606330789052,0.07905772672249721,0.05481565822488987,0.0,13.0943173628587,0.012578953057527542,0.012664377689361572,0.01621636562049389,0.011817647144198418,0.021749528124928474,0.04719997197389603,0.09200703352689743,0.4361613690853119
11.0,1.424434712299934,0.09073783527128398,1.57452612465205,1.2833030443925124,0.2721912757708476,0.0,0.07828906235786584,1.424434712299934,0.05798657725636776,0.10833469950235806,0.004856031423864458,0.05798657725636776,0.07828906235786584,0.04856031423864456,0.0,12.833030443925123,0.012642462737858295,0.012780661694705486,0.016273701563477516,0.011981038376688957,0.021910736337304115,0.05038771405816078,0.09856529533863068,0.501361072063446
12.0,1.414784394777738,0.0612581439781934,1.71557625769843,1.2669146427741418,0.27012091875076294,0.0,0.07770508757004371,1.414784394777738,0.0656146604854327,0.10751546804721539,0.004549978816738496,0.0656146604854327,0.07770508757004371,0.04549978816738495,0.0,12.669146427741417,0.011926349252462387,0.012026266194880009,0.015384040772914886,0.011275221593677998,0.020468156784772873,0.04258330538868904,0.07981052994728088,0.29659128189086914
13.0,1.3769990801811218,0.09945249371230602,1.5914316466813445,1.2399756468259373,0.26880934146734387,0.0,0.07708042716750732,1.3769990801811218,0.054840028715821415,0.1087590937431042,0.005102944696465364,0.054840028715821415,0.07708042716750732,0.05102944696465364,0.0,12.39975646825937,0.01302946824580431,0.013195818290114403,0.016787810251116753,0.01236667949706316,0.022835800424218178,0.05345586687326431,0.10629680752754211,0.557651698589325
14.0,1.370876445220067,0.06984208710491657,1.7705097748038265,1.2201917831714337,0.26889740503751314,0.0,0.07745660382967728,1.370876445220067,0.0679197646677494,0.10809337003872944,0.0053082447069195595,0.0679197646677494,0.07745660382967728,0.0530824470691956,0.0,12.201917831714336,0.012120234780013561,0.012237928807735443,0.01561160571873188,0.011432412080466747,0.020854316651821136,0.04436495900154114,0.08426778763532639,0.3578474521636963
15.0,1.325310271519881,0.08110786706674844,1.6479653506639744,1.1911821438716008,0.2661989170771379,0.0,0.07590679451823235,1.325310271519881,0.05337898977673971,0.10803248504033455,0.004842314274551777,0.05337898977673971,0.07590679451823235,0.04842314274551777,0.0,11.911821438716007,0.012324844487011433,0.012435844168066978,0.015828853473067284,0.011701326817274094,0.021298851817846298,0.04781368374824524,0.09244897961616516,0.43501055240631104
16.0,1.3109179024512951,0.05627880245447159,1.780497840961993,1.1693070154923662,0.2624559448315547,0.0,0.07406685988490398,1.3109179024512951,0.0629710706953819,0.10662117715065296,0.004572913910333928,0.0629710706953819,0.07406685988490398,0.04572913910333927,0.0,11.693070154923658,0.011772637255489826,0.011865834705531597,0.015128670260310173,0.011213341727852821,0.020138267427682877,0.04250440374016762,0.0782318115234375,0.2593754529953003
17.0,1.2682588008733897,0.08908007841091603,1.679049010003276,1.1396924715775711,0.2560963470202226,0.0,0.0704499099117059,1.2682588008733897,0.05286275323193807,0.10576182546523902,0.005253641880475557,0.05286275323193807,0.0704499099117059,0.052536418804755576,0.0,11.39692471577571,0.012643679976463318,0.012759809382259846,0.016207730397582054,0.011995630338788033,0.022002940997481346,0.05065273866057396,0.09969660639762878,0.4866814911365509
18.0,1.2504434081224294,0.06019026576541364,1.8175293368800758,1.1118717175263626,0.25248022835988265,0.0,0.06881816284014629,1.2504434081224294,0.06467521878389212,0.10392437474085735,0.005078300017003829,0.06467521878389212,0.06881816284014629,0.0507830001700383,0.0,11.118717175263624,0.011834096163511276,0.011941165663301945,0.01520417258143425,0.011264356784522533,0.020302800461649895,0.04317991062998772,0.07967198640108109,0.28812363743782043
